Company Name,Focus Area,Subjects Offered,Origin Year,Revenue 2021,Revenue 2022,Revenue 2023,Investors (Major),Amount Invested (Approx),Country,Website
Pearson,"K-12, Higher Ed, Vocational","Multiple (Math, Science, English, etc)",1844,$4.7B,$4.8B,£3.5B,Public Company,-,UK,https://www.pearson.com
McGraw Hill,"K-12, Higher Ed",Multiple,1888,$1.6B,$1.7B,$2.1B,Platinum Equity (owner),$4.5B (acquisition),USA,https://www.mheducation.com
Cengage Learning,"K-12, Higher Ed, Vocational",Multiple,2007,$1.4B,$1.5B,$1.54B,Apollo Global Management,$2B+,USA,https://www.cengage.com
Scholastic Corporation,"K-12, Publishing","Reading, Literacy, STEM",1920,$1.3B,$1.6B,$1.704B,Public Company,-,USA,https://www.scholastic.com
"Chegg, Inc.","Higher Ed, Online Learning","Textbooks, Tutoring, STEM, Business",2005,$776M,$766M,$716M,Public Company,-,USA,https://www.chegg.com
Perdoceo Education Corp,"Higher Ed, Career Training","Business, Healthcare, IT",1994,$687M,$688M,,Public Company,-,USA,https://www.perdoceoed.com
Adtalem Global Education,"Higher Ed, Professional","Healthcare, Business, Law",1973,$1.1B,$1.4B,,Public Company,-,USA,https://www.adtalem.com
"Udemy, Inc.",Online Learning,"200,000+ Courses (Various)",2010,$518M,$629M,$700M,"Insight Partners, Norwest Venture Partners, etc.",$300M+,USA,https://www.udemy.com
Laureate Education,Higher Ed,"Business, Law, Engineering, etc.",1998,$1.1B,$1.2B,,Public Company,-,USA,https://www.laureate.net
"Coursera, Inc.",Online Learning,"7,000+ Courses (Various)",2012,$415M,$523M,$635M,"New Enterprise Associates, Kleiner Perkins, etc.",$443M,USA,https://www.coursera.org
Grand Canyon Education,Higher Ed,Multiple,2008,$873M,$933M,,Public Company,-,USA,https://www.gce.com
John Wiley & Sons,"Academic Publishing, EdTech","STEM, Business, Research",1807,$1.8B,$2.0B,,Public Company,-,USA,https://www.wiley.com
"Stride, Inc. (K12 Inc.)","K-12, Online Schools",Multiple,2000,$1.5B,$1.7B,,Public Company,-,USA,https://www.stridelearning.com
TAL Education Group,"K-12, Tutoring","Math, Science, English",2003,$4.5B,$1.1B,,Public Company,-,China,https://www.talgroup.com
New Oriental Education & Tech Group,"K-12, Test Prep","English, Math, Test Prep, Languages",1993,$1.07B,$1.1B,$1.9B,Public Company,-,China,https://www.neworiental.org
Bright Scholar Ed Holdings,"K-12, International Schools",Multiple,1994,$2.5B,,,Public Company,-,China,https://www.brightscholar.com
Ambow Education Holding Ltd.,"K-12, Vocational, Overseas Study",Multiple,2008,$1.2B,,,Public Company,-,China,https://www.ambow.com
Lincoln Educational Services Corp.,"Vocational, Technical","Automotive, Health, Skilled Trades",1946,$300M,,,Public Company,-,USA,https://www.lincolntech.edu
Instructure Holdings,"EdTech, Learning Management","LMS (Canvas), K-12, Higher Ed",2008,$405M,$475M,$523M,"Thoma Bravo, Public Company",-,USA,https://www.instructure.com
PowerSchool Holdings,"EdTech, K-12 Admin Software","SIS, LMS, Analytics",1997,$558M,$630M,$700M,"Vista Equity, Onex, Public Company",-,USA,https://www.powerschool.com
Duolingo,"Language Learning, EdTech",40+ Languages,2011,$250M,$369M,$531M,"Union Square Ventures, CapitalG, Public",$183M+,USA,https://www.duolingo.com
Kahoot!,Gamified Learning,Multiple,2012,$124M,$146M,$158M,"SoftBank, Northzone, Microsoft",$300M+,Norway,https://kahoot.com
