S.No,Company Name,Focus Area,Subjects Offered,Origin Year,Revenue 2021,Revenue 2022,Revenue 2023,Investors (Major),Amount Invested (Approx),Website,LinkedIn
1,BYJU’S,"K-12, Competitive Exams","Math, Science, English, Coding, etc.",2011,$800M,$1.2B,$1.5B,"Sequoia, Tiger Global, General Atlantic, Chan Zuckerberg, Silver Lake, BlackRock, Qatar Inv. Auth",$5.5B+,byjus.com,linkedin.com/company/byju-s
2,Unacademy,"Competitive Exams, K-12","Math, Science, English, UPSC, CAT, etc.",2015,$100M,$150M,$200M,"SoftBank, Sequoia, Tiger Global, General Atlantic, Facebook",$800M+,unacademy.com,linkedin.com/company/unacademy
3,Vedantu,"K-12, JEE/NEET","Math, Physics, Chemistry, Biology, English, Coding",2014,$50M,$90M,$120M,"Tiger Global, WestBridge, GGV Capital, Accel, Omidyar Network, Kedaara Capital, Peak XV Partners",$200M+,vedantu.com,linkedin.com/company/vedantu
4,UpGrad,"Higher Ed, Upskilling","Data Science, AI, MBA, Law, Tech, Finance",2015,$150M,$250M,$350M,"Temasek, IFC, IIFL, Unilazer Ventures, James Murdoch's Lupa Systems, ETS Global, Bodhi Tree",$300M+,upgrad.com,linkedin.com/company/upgrade-education
5,Toppr,"K-12, JEE/NEET","Math, Science, English, Social Studies, Coding",2013,$40M,$60M,$80M,"SAIF Partners, Helion, Eight Roads, Kaizen PE",$100M+,toppr.com,linkedin.com/company/toppr-com
6,WhiteHat Jr,Kids Coding,"Programming, AI, Game Development",2018,$50M,$70M,$100M,Acquired by BYJU’S (2020),$300M (acquisition),whitehatjr.com,linkedin.com/company/whitehat-jr
7,Simplilearn,Professional Upskilling,"Cyber Security, Cloud, Digital Marketing, Data Science",2010,$90M,$130M,$180M,"Blackstone, Kalaari Capital, Helion Ventures",$100M+,simplilearn.com,linkedin.com/company/simplilearn
8,Eruditus,Executive Education,"MBA, Leadership, Business Analytics",2010,$150M,$220M,$300M,"Accel, SoftBank, Chan Zuckerberg, Prosus, Sequoia",$800M+,eruditus.com,linkedin.com/company/eruditus-executive-education
9,Cuemath,K-12 Math,"Math, Mental Ability, Coding",2013,$30M,$50M,$70M,"Lightstone, Alpha Wave, Sequoia, Google",$100M+,cuemath.com,linkedin.com/company/cuemath
10,Great Learning,"Higher Ed, Certifications","AI, Data Science, Business, Software Development",2013,$100M,$150M,$200M,Acquired by BYJU’S (2021),$600M (acquisition),greatlearning.in,linkedin.com/company/great-learning
11,Extramarks,"K-12, CBSE/ICSE","Math, Science, Social Science, English, Hindi",2007,$50M,$70M,$90M,"Gaja Capital, Reliance Industries",$50M+,extramarks.com,linkedin.com/company/extramarks-education
12,Embibe,"JEE/NEET, K-12","Physics, Chemistry, Biology, Math, AI-based Learning",2012,$30M,$45M,$60M,"Reliance Industries, Kalaari Capital, Lightbox Ventures",$180M+,embibe.com,linkedin.com/company/embibe
13,Meritnation,"K-12, CBSE/ICSE","Math, Science, English, Social Studies, Hindi",2008,$30M,$40M,$50M,Info Edge India,$20M+,meritnation.com,linkedin.com/company/meritnation-com
14,Doubtnut,"K-12, JEE/NEET","Math, Science, Video Solutions in Hindi/English",2016,$20M,$30M,$40M,"Tencent, Sequoia, Omidyar Network, WaterBridge",$50M+,doubtnut.com,linkedin.com/company/doubtnut
15,Classplus,"Teacher Tools, Test Prep","NEET, JEE, UPSC, State Exams",2018,$25M,$50M,$75M,"Tiger Global, RTP Global, Blume Ventures",$160M+,classplusapp.com,linkedin.com/company/classplus
16,Testbook,"Govt. Exams, Banking","SSC, Banking, Railways, GATE, UPSC",2014,$25M,$40M,$55M,"Iron Pillar, Matrix Partners, Better Capital",$15M+,testbook.com,linkedin.com/company/testbook-com
17,Adda247,"Govt. Jobs, Banking","SSC, Banking, Railways, Teaching Exams",2010,$30M,$45M,$65M,"WestBridge, Info Edge, Asha Impact, STL",$35M+,adda247.com,linkedin.com/company/adda247
18,Gradeup,Competitive Exams,"GATE, SSC, Banking, Railways, UPSC",2015,$15M,$25M,$35M,Times Internet,$10M+,byjusexamprep.com,linkedin.com/company/byjus-exam-prep
19,Oliveboard,"Banking, Govt. Exams","IBPS, SBI, RBI, SSC, Railways",2013,$10M,$15M,$20M,"IndiaQuotient, IAN Fund",$5M+,oliveboard.in,linkedin.com/company/oliveboard
20,Lido Learning,"K-12, CBSE/ICSE","Math, Science, English, Coding",2019,$12M,$18M,$25M,"Picus Capital, BAce Capital, RTP Global, Ant Financial (Alibaba)",$24M+,N/A (Defunct),linkedin.com/company/lido-learning
21,PlanetSpark,Kids’ Communication Skills,"English Speaking, Creative Writing, Public Speaking",2016,$7M,$10M,$15M,"Prime Venture Partners, AngelList India, Clutch Schools",$13.5M+,planetspark.in,linkedin.com/company/planetspark
22,Codingal,Kids Coding,"Python, Scratch, App Development, Game Design",2020,$5M,$8M,$12M,"Rebright Partners, BlackSoil, Java Capital",$1.6M+,codingal.com,linkedin.com/company/codingal
23,Camp K12,Kids Tech & Coding,"VR, AI, 3D Design, Game Development",2020,$3M,$6M,$10M,"Matrix Partners India, SAIF Partners",$16M+,campk12.com,linkedin.com/company/campk12
24,Scaler Academy,Tech Upskilling,"Data Science, Full-Stack Development, AI/ML",2019,$20M,$35M,$50M,"Sequoia Capital India, Lightrock India",$76.5M+,scaler.com,linkedin.com/company/scaler
